PartNumber,widthX,lengthY,height,padY,padX,padSpacing,landingInsideX,landingX,landingY
FNR252010S,2.5,2,1,2,0.8,0.8,0.8,0.85,2
FNR252012S,2.5,2,1.2,2,0.8,0.8,0.8,0.85,2
FNR3010S,3,3,1,2.5,0.75,1.5,1.5,0.8,2.7
FNR3012S,3,3,1.2,2.5,0.75,1.5,1.5,0.8,2.7
FNR3015S,3,3,1.5,2.5,0.75,1.5,1.5,0.8,2.7
FNR3021S,3,3,2.35,2.5,0.75,1.5,1.5,0.8,2.7
FNR4010S,4,4,1,3.3,0.95,2.1,1.9,1.1,3.7
FNR4012S,4,4,1.2,3.3,0.95,2.1,1.9,1.1,3.7
FNR4015S,4,4,1.65,3.3,0.95,2.1,1.9,1.1,3.7
FNR4018S,4,4,1.8,3.3,0.95,2.1,1.9,1.1,3.7
FNR4020S,4,4,2,3.3,0.95,2.1,1.9,1.1,3.7
FNR4026S,4,4,2.6,3.3,0.95,2.1,1.9,1.1,3.7
FNR4030S,4,4,3,3.3,0.95,2.1,1.9,1.1,3.7
FNR5012S,5,5,1.2,4,1.25,2.5,2.3,1.4,4.2
FNR5015S,5,5,1.5,4,1.25,2.5,2.3,1.4,4.2
FNR5020S,5,5,2,4,1.25,2.5,2.3,1.4,4.2
FNR5030S,5,5,3,4,1.25,2.5,2.3,1.4,4.2
FNR5040S,5,5,4,4,1.25,2.5,2.3,1.4,4.2
FNR5045S,5,5,4.5,4,1.25,2.5,2.3,1.4,4.2
FNR6020S,6,6,2,4.9,1.55,2.9,2.8,1.7,5.7
FNR6028S,6,6,2.8,4.9,1.55,2.9,2.8,1.7,5.7
FNR6040S,6,6,4,4.9,1.55,2.9,2.8,1.7,5.7
FNR6045S,6,6,4.5,4.9,1.55,2.9,2.8,1.7,5.7
FNR8040S,8,8,4,6.3,2,4,3.8,2.2,7.5
FNR8050S,8,8,5,6.3,2,4,3.8,2.2,7.5
FNR8065S,8,8,6.5,6.3,2,4,3.8,2.2,7.5
